section_id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BU0090YK|440|0.0,67.0,,58.0,,19.0,36.0,16.0,9.0,41.0,,38.0,,,53.0,48.0,26.0,59.0,48.0,43.0,65.0,48.0,51.0,52.0,44.0,48.0,52.0,49.0,,
BU0090YK|440|0.5,,,,,,,,,,,26.0,,,53.0,59.0,34.0,71.0,65.0,71.0,48.0,,,,57.0,50.0,53.0,55.0,,
BU0090YK|442|0.0,,,95.0,,,68.0,51.0,16.0,69.0,39.0,57.0,84.0,84.0,52.0,84.0,59.0,45.0,44.0,91.0,41.0,100.0,50.0,38.0,33.0,33.0,35.0,36.0,29.0,
BU0090YK|442|0.5,,,84.0,,,46.0,41.0,6.0,84.0,39.0,43.0,78.0,71.0,83.0,84.0,71.0,66.0,65.0,87.0,43.0,53.0,44.0,39.0,47.0,33.0,43.0,70.0,45.0,
BU0090YK|442|1.0,,,65.0,,,89.0,73.0,52.0,91.0,51.0,66.0,100.0,100.0,96.0,100.0,100.0,98.0,100.0,48.0,100.0,100.0,79.0,96.0,68.0,68.0,71.0,70.0,74.0,62.0
BU0090YK|442|1.5,,,43.0,,,88.0,41.0,13.0,,41.0,69.0,100.0,100.0,95.0,100.0,95.0,100.0,100.0,38.0,97.0,90.0,72.0,91.0,71.0,67.0,66.0,63.0,60.0,60.0
BU0090YK|444|0.0,,,,,,,92.0,72.0,,34.0,36.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,71.0,90.0,97.0,65.0,86.0,66.0,55.0,67.0,54.0,47.0,51.0
BU0287FK|292|0.0,48.0,,44.0,,,99.0,38.0,90.0,87.0,73.0,14.0,85.0,71.0,70.0,61.0,72.0,8.0,95.0,95.0,59.0,100.0,100.0,97.0,89.0,86.0,76.0,81.0,81.0,75.0
BU0287FK|292|0.5,48.0,,26.0,,,42.0,70.0,33.0,45.0,38.0,78.0,43.0,53.0,15.0,22.0,27.0,35.0,100.0,100.0,88.0,57.0,73.0,54.0,71.0,60.0,65.0,70.0,72.0,72.0
BU0287FK|292|1.0,80.0,,70.0,,,56.0,83.0,63.0,64.0,59.0,100.0,62.0,51.0,88.0,72.0,88.0,87.0,100.0,100.0,94.0,94.0,91.0,82.0,91.0,89.0,88.0,92.0,91.0,92.0
BU0287FK|292|1.5,80.0,,100.0,,,82.0,79.0,71.0,83.0,95.0,71.0,90.0,79.0,99.0,98.0,99.0,95.0,100.0,100.0,99.0,94.0,90.0,94.0,99.0,92.0,87.0,92.0,89.0,91.0
