section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BU0090YK|438|0.0,BU0090YK,438,0.0,20 - BEAUMONT,181 - ORANGE,,0.209,0.709,24,-93.800173,30.11153
BU0090YK|438|0.5,BU0090YK,438,0.5,20 - BEAUMONT,181 - ORANGE,,0.709,1.209,25,-93.791382,30.11009
BU0090YK|438|1.0,BU0090YK,438,1.0,20 - BEAUMONT,181 - ORANGE,,1.209,1.709,25,-93.783059,30.109936
BU0090YK|438|1.5,BU0090YK,438,1.5,20 - BEAUMONT,181 - ORANGE,,1.709,2.165,22,-93.776843,30.108602
BU0090YK|440|0.0,BU0090YK,440,0.0,20 - BEAUMONT,181 - ORANGE,,2.165,2.665,22,-93.772526,30.104592
BU0090YK|440|0.5,BU0090YK,440,0.5,20 - BEAUMONT,181 - ORANGE,J - JOINTED CONCRETE PAVEMENT (JCP),2.665,3.065,12,-93.76984,30.101688
BU0090YK|442|0.0,BU0090YK,442,0.0,20 - BEAUMONT,181 - ORANGE,,4.145,4.645,24,-93.741328,30.093076
BU0090YK|442|0.5,BU0090YK,442,0.5,20 - BEAUMONT,181 - ORANGE,,4.645,5.145,24,-93.73323,30.093151
BU0090YK|442|1.0,BU0090YK,442,1.0,20 - BEAUMONT,181 - ORANGE,,5.145,5.645,25,-93.727497,30.095483
BU0090YK|442|1.5,BU0090YK,442,1.5,20 - BEAUMONT,181 - ORANGE,,5.645,6.148,24,-93.727222,30.102506
BU0090YK|444|0.0,BU0090YK,444,0.0,20 - BEAUMONT,181 - ORANGE,,6.148,6.448,22,-93.727446,30.108728
BU0287FK|292|0.0,BU0287FK,292,0.0,03 - WICHITA FALLS,244 - WILBARGER,,2.015,2.515,26,-99.28887,34.152684
BU0287FK|292|0.5,BU0287FK,292,0.5,03 - WICHITA FALLS,244 - WILBARGER,,2.515,3.015,26,-99.280197,34.15279
BU0287FK|292|1.0,BU0287FK,292,1.0,03 - WICHITA FALLS,244 - WILBARGER,,3.015,3.515,26,-99.271259,34.152703
